n,PP3,PP4,gene,arm
350,0.03397736805652317,0.05905439202940041,CD68,accelerator
499,0.033789065605029395,0.05877283515158501,APOE,accelerator
393,0.02464878216302429,0.03268370457948342,TREM2,accelerator
239,0.0007023506554732931,0.005391978781105014,TNF,accelerator
1415,0.0038478971931412637,0.0033448894923977287,LPL,accelerator
4136,0.024495390996595597,0.0033118423601353948,SPP1,accelerator
651,0.007765012026056834,0.0029702126243901527,AXL,DAM_only
936,0.004959232373115534,0.0019528889125700955,ITGAX,accelerator
1633,0.18378511428021982,0.0018912763654251735,LGALS3,accelerator
143,0.000442843461944238,0.0018554395085414609,HAS3,resolution
1060,0.0009115942055387769,0.0016511505800701457,TLR2,accelerator
2780,0.004245231821179984,0.0016275433648443361,ANXA1,resolution
1855,0.0033075620435341815,0.0015429442108083767,CLEC7A,accelerator
2000,0.003952695259729623,0.001365420861737452,CD9,DAM_only
3512,0.9722709686683886,0.0010257382240491354,CTSB,DAM_only
1730,0.0013335568857347564,0.0006369281634211209,CD44,accelerator
832,0.0004186579487732886,0.0005820041944325455,GPNMB,accelerator
703,0.0008849827951070974,0.0005692821901878375,CTSL,DAM_only
921,0.0005187501559964819,0.0005603169834628023,IL1B,accelerator
1105,0.00044879804508993735,0.0005028141513920941,C3,accelerator
1056,0.00043314803690151896,0.0004460998989972966,IL10,resolution
430,0.0002539626645247311,0.00042106942858711246,FTH1,DAM_only
418,0.00023500434292377667,0.00041685149763243616,CTSD,DAM_only
434,0.0001303655010751762,0.0003776432247844335,TGFB1,resolution
1518,0.0005386095340909041,0.00032301325381882683,CXCL10,accelerator
571,0.00010011910692056453,0.00019933807400573995,C1QB,accelerator
232,5.0759940685104315e-05,0.00018490443079760162,C1QA,accelerator
670,0.0001363003920358391,0.00018365884619467646,CST7,accelerator
288,3.1297777889524525e-05,0.00012344974745968977,B2M,accelerator
565,5.9321619258627047e-05,0.00011382472968021036,SOCS3,resolution
263,2.838970445026552e-05,0.00010940592281550369,HAS1,resolution
209,2.655893015552391e-05,0.00010705601383057633,TNFAIP6,resolution
439,4.002995198258092e-05,9.517500755435567e-05,C1QC,accelerator
198,1.9473988945847923e-05,8.718576171710686e-05,LGALS3BP,DAM_only
157,4.407215178489532e-06,2.694404097301532e-05,HMMR,resolution
84,9.567769807685029e-07,1.4394960561547663e-05,CD63,DAM_only
37,4.7367892304566953e-07,1.3867569841387655e-05,TYROBP,accelerator
