gene,arm,control_class,caqtl_p,neglog10_caQTL,AD_minp_in_peak,neglog10_AD,n_gwas_in_peak
APOE,accelerator,positive control (inherited risk),0.0011188451271374,2.95123002525411,1e-320,320.000004834948,72
TREM2,accelerator,positive control (inherited risk),0.010665546618038,1.9720168816947015,1.3940000000000009e-27,26.85573722623801,90
CD68,accelerator,accelerator effector,0.000402635972838,3.3950874263993653,7.252999999999995e-07,6.139482322538254,85
TNF,accelerator,accelerator effector,0.0729409500998764,1.1370285840377814,5.5580000000000034e-05,4.255081457558647,92
TLR2,accelerator,accelerator effector,0.0028162836935723,2.5503235994065974,7.079999999999999e-05,4.149966742310231,67
CXCL10,accelerator,accelerator effector,0.0001995069379947,3.700041996817227,0.0006761,3.169989064063882,112
LGALS3,accelerator,accelerator effector,0.0002088119517059,3.6802446473777564,0.0011939999999999,2.922995673206686,60
C1QC,accelerator,accelerator effector,0.0008746244741275,3.0581783742015336,0.0014819999999999,2.82915179635672,80
C1QA,accelerator,accelerator effector,0.0004407153963854,3.3558417771542026,0.0014819999999999,2.82915179635672,83
CLEC7A,accelerator,accelerator effector,0.0004338956869176,3.3626146668959,0.002043,2.6897316333675523,99
AXL,DAM_only,DAM_only,2.2970804603320224e-06,5.638823792412194,0.0025129999999999,2.5998075114074415,106
ANXA1,resolution,resolution,8.718325278111136e-06,5.059566931618701,0.0030929999999999,2.509620079996835,72
ITGAX,accelerator,accelerator effector,3.810488616092472e-05,4.419019331498445,0.0034159999999999,2.466482137983045,51
SPP1,accelerator,accelerator effector,1.4683114253584045e-12,11.833181821824219,0.003709,2.4307431666713897,83
SOCS3,resolution,resolution,0.0224250674899268,1.6492662412400045,0.004492,2.3475602524105796,99
C1QB,accelerator,accelerator effector,0.0001749820524501,3.757006493722881,0.0057299999999999,2.2418453780326177,97
CTSL,DAM_only,DAM_only,5.213806065877803e-05,4.28284512700074,0.005906,2.2287065573709404,91
LGALS3BP,DAM_only,DAM_only,0.0423270700979976,1.373381792577505,0.006688,2.17470373556904,99
CTSD,DAM_only,DAM_only,0.0001664824403355,3.778631566767633,0.007247,2.1398417386817217,123
LPL,accelerator,accelerator effector,0.0032372791585902,2.48981984869509,0.0076889999999999,2.1141301390960994,127
TYROBP,accelerator,accelerator effector,0.025289608120789,1.5970579002838086,0.0092119999999999,2.035646070707811,88
TGFB1,resolution,resolution,3.97758821415191e-06,5.400380179878849,0.0094729999999999,2.0235124626948147,73
IL1B,accelerator,accelerator effector,0.0252569437512434,1.5976192029601661,0.0100099999999999,1.9995659225206857,64
B2M,accelerator,accelerator effector,0.0132261924619206,1.878565161917691,0.0137499999999999,1.8616973018337217,77
CD44,accelerator,accelerator effector,0.0070748577728945,2.150282286413985,0.01386,1.858236769724212,64
CTSB,DAM_only,DAM_only,1.293354346736324e-11,10.888282472993371,0.01472,1.8320921899985199,107
GPNMB,accelerator,accelerator effector,0.0001595013310299,3.7972356884279357,0.0147499999999999,1.8312079796858212,71
HAS3,resolution,resolution,3.0845860618736425e-05,4.510803108164236,0.01868,1.7286231281059254,63
IL10,resolution,resolution,0.0024414918704057,2.6123447174760375,0.0207,1.6840296545430822,71
CD9,DAM_only,DAM_only,0.0002418681858332,3.616421252868958,0.02088,1.6802695056697754,90
FTH1,DAM_only,DAM_only,0.0112389559493816,1.9492740309806926,0.02188,1.6599526823386068,71
C3,accelerator,accelerator effector,0.0051404195101582,2.2890014367416316,0.0291799999999999,1.5349147124425686,104
CST7,accelerator,accelerator effector,0.006055701025687,2.2178355744094915,0.03229,1.4909319549828384,116
