sample,group,frac_hi,n
S1_CTE,CTE,0.09342560553633218,289
S2_CTE,CTE,0.0350109409190372,457
S3_RHI,RHI,0.04018912529550828,423
S4_CTE,CTE,0.05921052631578947,304
S5_RHI,RHI,0.054,500
S7_CTE,CTE,0.18,100
S8_Control,Control,0.09504132231404959,242
S9_Control,Control,0.11969111969111969,777
S11_RHI,RHI,0.10632183908045977,348
S12_RHI,RHI,0.5150659133709982,1062
S14_Control,Control,0.10438413361169102,479
S15_Control,Control,0.1375796178343949,785
S16_CTE,CTE,0.5235223160434258,829
S17_CTE,CTE,0.21138211382113822,984
S18_Control,Control,0.02178649237472767,918
S19_RHI,RHI,0.09774436090225563,133
S20_CTE,CTE,0.06289308176100629,636
S22_RHI,RHI,0.1317365269461078,334
S23_CTE,CTE,0.08846153846153847,260
S24_Control,Control,0.1678082191780822,584
S26_CTE,CTE,0.07964601769911504,226
S27_Control,Control,0.04938271604938271,729
S28_RHI,RHI,0.006711409395973154,149
S30_CTE,CTE,0.05391658189216684,983
S31_Control,Control,0.13821138211382114,615
S32_RHI,RHI,0.18262411347517732,564
S34_CTE,CTE,0.009765625,512
S35_RHI,RHI,0.022197558268590455,901
