gene,TBI_mean,Ctrl_mean,delta,p,n_tbi,n_ctl,cell_type,class
Has1,0.00032415925,0.00011896041,0.00020519884,0.13097516,26,10,Microglia,"HAS (→HMW-HA, anti-infl)"
Has2,9.562134e-05,0.0,9.562134e-05,0.108530454,26,10,Microglia,"HAS (→HMW-HA, anti-infl)"
Has3,0.0014594311,0.00081060827,0.00064882287,0.16288237,26,10,Microglia,"HAS (→HMW-HA, anti-infl)"
Hyal1,0.037567858,0.050265193,-0.012697335,0.04598847,26,10,Microglia,"HYAL (→LMW-HA, pro-infl)"
Hyal2,0.052855007,0.03834492,0.014510088,0.108055495,26,10,Microglia,"HYAL (→LMW-HA, pro-infl)"
Cd44,0.13767022,0.006260301,0.13140991,0.00014660787,26,10,Microglia,receptor
Hmmr,0.023803672,0.002890566,0.020913105,0.00038594007,26,10,Microglia,receptor
Tnfaip6,0.0031921284,0.00022288023,0.0029692482,0.00011546396,26,10,Microglia,brake ligand
Tgfb1,0.7928492,1.1118742,-0.31902504,0.0025299387,26,10,Microglia,brake ligand
Anxa1,0.031983286,0.0010347688,0.030948518,2.4339317e-05,26,10,Microglia,brake ligand
Socs3,0.9603902,1.0681181,-0.107727885,0.5365259,26,10,Microglia,brake ligand
Il10,0.0086611025,0.00015239768,0.008508705,0.0023586506,26,10,Microglia,brake ligand
Tlr2,0.5027746,0.2644857,0.23828891,0.00095900183,26,10,Microglia,LMW-HA sensor (TLR)
Tlr4,0.11006102,0.11048931,-0.00042828918,0.98591065,26,10,Microglia,LMW-HA sensor (TLR)
Has1,0.0025452967,0.0,0.0025452967,0.2854433,26,10,Astrocyte,"HAS (→HMW-HA, anti-infl)"
Has2,0.041596532,0.0,0.041596532,0.012259291,26,10,Astrocyte,"HAS (→HMW-HA, anti-infl)"
Has3,0.0014031187,0.0,0.0014031187,0.2854433,26,10,Astrocyte,"HAS (→HMW-HA, anti-infl)"
Hyal1,0.049793866,0.041902028,0.0078918375,0.569915,26,10,Astrocyte,"HYAL (→LMW-HA, pro-infl)"
Hyal2,0.059817806,0.034817133,0.025000673,0.25731993,26,10,Astrocyte,"HYAL (→LMW-HA, pro-infl)"
Cd44,0.44894364,0.015078135,0.43386552,0.00031291,26,10,Astrocyte,receptor
Hmmr,0.0028592113,0.0013688186,0.0014903927,0.89701104,26,10,Astrocyte,receptor
Tnfaip6,0.024442662,0.009186571,0.01525609,0.104527794,26,10,Astrocyte,brake ligand
Tgfb1,0.117914505,0.26179546,-0.14388096,0.16299069,26,10,Astrocyte,brake ligand
Anxa1,0.3867304,0.116839364,0.26989102,0.03257168,26,10,Astrocyte,brake ligand
Socs3,0.37323573,0.26591447,0.10732126,0.24378115,26,10,Astrocyte,brake ligand
Il10,0.0018190307,0.0,0.0018190307,0.2854433,26,10,Astrocyte,brake ligand
Tlr2,0.078639075,0.03400613,0.044632945,0.04180993,26,10,Astrocyte,LMW-HA sensor (TLR)
Tlr4,0.03238474,0.027419114,0.004965624,0.7763427,26,10,Astrocyte,LMW-HA sensor (TLR)
