sample,accel,brake,condition,imbalance
GSM8326331_RNASEQ01,-0.032358307,0.043000948,TBI,-0.075359255
GSM8326332_RNASEQ03,-0.053816266,-0.011975337,TBI,-0.04184093
GSM8326333_RNASEQ04,-0.12877318,0.019107895,Control,-0.14788108
GSM8326334_RNASEQ06,0.0947687,0.05168735,TBI,0.043081354
GSM8326335_RNASEQ07,0.0748342,0.036955427,TBI,0.03787877
GSM8326336_RNASEQ08,-0.0886122,0.018543651,Control,-0.10715585
GSM8326337_RNASEQ09,-0.24002008,-0.08793622,TBI,-0.15208386
GSM8326338_RNASEQ10,-0.12280877,-0.03851811,Control,-0.08429066
GSM8326339_RNASEQ11,-0.1313876,0.011311858,TBI,-0.14269947
GSM8326340_RNASEQ12,-0.15542856,-0.039735034,TBI,-0.115693524
GSM8326341_RNASEQ13,-0.008088089,0.003968165,TBI,-0.012056254
GSM8326342_RNASEQ15,0.027986681,-0.039772782,TBI,0.06775946
GSM8326343_RNASEQ16,-0.2186605,-0.074799806,Control,-0.1438607
GSM8326344_RNASEQ17L,0.09168816,0.064415865,TBI,0.027272299
GSM8326345_RNASEQ17R,-0.06257944,0.061451197,TBI,-0.124030635
GSM8326346_RNASEQ18L,0.11588528,0.084860414,TBI,0.031024866
GSM8326347_RNASEQ18R,-0.05490946,0.021398682,TBI,-0.076308146
GSM8326348_RNASEQ19L,0.059874248,0.00888946,TBI,0.05098479
GSM8326349_RNASEQ19R,-0.056927066,0.055857006,TBI,-0.11278407
GSM8326350_RNASEQ20L,0.001621458,-0.018059863,TBI,0.019681321
GSM8326351_RNASEQ21L,-0.06717609,-0.046884645,TBI,-0.020291444
GSM8326352_RNASEQ22L,-0.120643474,-0.032835994,TBI,-0.08780748
GSM8326353_RNASEQ23,-0.20772615,0.014922193,Control,-0.22264834
GSM8326354_RNASEQ24,-0.17678156,0.0022349125,Control,-0.17901647
GSM8326355_RNASEQ25,-0.1745905,0.04616834,Control,-0.22075884
GSM8326356_RNASEQ26,-0.12767692,0.040726494,Control,-0.16840342
GSM8326357_RNASEQ27,-0.1567054,0.01695414,Control,-0.17365953
GSM8326358_RNASEQ28,-0.2942143,-0.08510882,Control,-0.20910549
GSM8326359_MB765,-0.13459326,-0.017696524,TBI,-0.11689674
GSM8326360_MB766,-0.11361011,-0.034176722,TBI,-0.07943339
GSM8326361_MB767,-0.08073441,-0.030562244,TBI,-0.050172165
GSM8326362_MB768,-0.26488018,-0.017806076,TBI,-0.2470741
GSM8326363_ScGly_12,0.45927754,-0.076435335,TBI,0.5357129
GSM8326364_ScGly_14,0.1790591,-0.10867825,TBI,0.28773737
GSM8326365_ScGly_16,0.4423015,-0.06254783,TBI,0.5048493
GSM8326366_CCI7,0.4552253,0.13172127,TBI,0.32350403
