gene,status,rank,r,det
SPP1,kept_core,8.0,0.407,
CD44,kept_weak,1429.0,0.073,
ITGAX,kept_weak,165.0,0.168,
TREM2,kept_core,12.0,0.387,
TYROBP,kept_core,5.0,0.422,
C3,kept_core,97.0,0.199,
C1QA,kept_core,3.0,0.514,
C1QB,kept_core,2.0,0.553,
C1QC,kept_core,1.0,0.586,
GPNMB,kept_core,24.0,0.287,
LPL,kept_core,42.0,0.247,
CLEC7A,kept_core,17.0,0.306,
LGALS3,kept_core,54.0,0.238,
TLR2,kept_core,33.0,0.268,
CD68,kept_core,7.0,0.408,
B2M,kept_core,4.0,0.475,
APOE,kept_core,0.0,0.614,
IL1B,kept_core,76.0,0.217,
CD74,data_added,6.0,0.416,
HLA-DRA,data_added,9.0,0.399,
CD14,data_added,10.0,0.394,
CD81,data_added,11.0,0.394,
HLA-DRB1,data_added,13.0,0.373,
CST3,data_added,14.0,0.361,
AP003086.1,data_added,15.0,0.323,
PSAP,data_added,16.0,0.315,
AC008957.2,data_added,18.0,0.306,
HLA-DPA1,data_added,19.0,0.303,
CD63,data_added,20.0,0.301,
ANKUB1,data_added,21.0,0.299,
SHOC1,data_added,22.0,0.294,
S100A11,data_added,23.0,0.293,
CST7,demoted_undetected,,,0.016
TNF,demoted_undetected,,,0.0143
CXCL10,demoted_undetected,,,0.0019
