gene,arm,snrna_det,bulk_det_human,bulk_meanCPM_human
TNFAIP6,resolution,0.003,1.0,1.0143602373885245
HAS1,resolution,0.002,1.0,3.683446327402036
HAS2,resolution,0.001,1.0,1.175574470767066
HAS3,resolution,0.005,1.0,5.209717701005025
HMMR,resolution,0.006,0.9666666666666667,0.4377920835785589
ANXA1,resolution,0.03,1.0,12.157512296178595
TGFB1,resolution,0.525,1.0,30.939737083772727
SOCS3,resolution,0.042,1.0,47.619865718157165
IL10,resolution,0.02,0.8666666666666667,0.23379595098484893
HYAL1,HA-matrix/receptor,,1.0,7.698690725644387
HYAL2,HA-matrix/receptor,,1.0,25.444258971921734
CD44,HA-matrix/receptor,,1.0,54.36079206817609
